ID;Pergunta;A;Nó A;B;Nó B
1;Numa escala de 0 a 10 a nota geral é maior que 8 ?;SIM;2;NÃO;107
2;A casa tem pelo menos 4 quartos?;SIM;3;NÃO;66
3;A casa foi construida depois do ano 2000?;SIM;4;NÃO;12
4;A casa tem porão?;SIM;5;NÃO;19
5;A area de convivência é maior que 232m² (2.500sqft)?;SIM;6;NÃO;38
6;Numa escala de 0 a 5 o estado de conservação é pelo menos 4?;SIM;7;NÃO;41
7;A casa já foi reformada alguma vez?;SIM;8;NÃO;56
8;A casa tem mais de um andar?;SIM;9;NÃO;57
9;NÓ FOLHA;A casa está acima do valor de mercado;;;
12;A casa tem mais de um andar?;SIM;13;NÃO;14
13;NÓ FOLHA;A casa está acima do valor de mercado;;;
14;A casa tem varanda?;A casa está abaixo do valor de mercado;;;
19;A casa tem mais de um andar?;SIM;20;NÃO;25
20;A area de convivência é maior que 232m² (2.500sqft)?;SIM;21;NÃO;26
21;A casa já foi reformada alguma vez?;SIM;22;NÃO;27
22;O terreno tem área total maior que 1300m² (14.000sqft)?;SIM;23;NÃO;28
23;NOTA_CONSERV;SIM;24;NÃO;31
24;NÓ FOLHA;A casa está acima do valor de mercado;;;
25;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
26;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
27;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
28;BANHEIROS;SIM;29;NÃO;34
29;NOTA_CONSERV;SIM;30;NÃO;35
30;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
31;BANHEIROS;A casa está abaixo do valor de mercado;;;
34;NOTA_CONSERV;A casa está acima do valor de mercado;;;
35;NÓ FOLHA;A casa está acima do valor de mercado;;;
38;NOTA_CONSERV;SIM;39;NÃO;40
39;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
40;NÓ FOLHA;A casa está acima do valor de mercado;;;
41;ANO_REFOR;SIM;42;NÃO;46
42;BANHEIROS;SIM;43;NÃO;47
43;ANDARES;SIM;44;NÃO;50
44;NÓ FOLHA;A casa está acima do valor de mercado;;;
46;NÓ FOLHA;A casa está acima do valor de mercado;;;
47;NÓ FOLHA;A casa está acima do valor de mercado;;;
50;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
56;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
57;AREA_LOTE;SIM;58;NÃO;59
58;NÓ FOLHA;A casa está acima do valor de mercado;;;
59;VISTA;SIM;60;NÃO;62
60;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
62;NÓ FOLHA;A casa está acima do valor de mercado;;;
66;AREA_CONVIV;SIM;67;NÃO;102
67;AREA_LOTE;SIM;68;NÃO;74
68;NOTA_CONSERV;SIM;69;NÃO;87
69;ANO_REFOR;SIM;70;NÃO;96
70;ANO_CONST;SIM;71;NÃO;97
71;AREA_PORAO;SIM;72;NÃO;100
72;ANDARES;SIM;73;NÃO;101
73;NÓ FOLHA;A casa está acima do valor de mercado;;;
74;NOTA_CONSERV;SIM;75;NÃO;77
75;NÓ FOLHA;A casa está acima do valor de mercado;;;
77;BANHEIROS;SIM;78;NÃO;81
78;AREA_PORAO;SIM;79;NÃO;84
79;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
80;NÓ FOLHA;A casa está acima do valor de mercado;;;
81;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
84;NÓ FOLHA;A casa está acima do valor de mercado;;;
87;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
96;NÓ FOLHA;A casa está acima do valor de mercado;;;
97;AREA_PORAO;SIM;98;NÃO;99
98;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
99;NÓ FOLHA;A casa está acima do valor de mercado;;;
100;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
101;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
102;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
107;QUARTOS;SIM;108;NÃO;124
108;AREA_CONVIV;SIM;109;NÃO;110
109;NÓ FOLHA;A casa está acima do valor de mercado;;;
110;ANDARES;SIM;111;NÃO;112
111;NÓ FOLHA;A casa está acima do valor de mercado;;;
112;ANO_CONST;SIM;113;NÃO;118
113;AREA_PORAO;SIM;114;NÃO;121
114;VISTA;SIM;115;NÃO;122
115;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
118;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
121;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
122;NÓ FOLHA;A casa está acima do valor de mercado;;;
124;AREA_LOTE;SIM;125;NÃO;134
125;NÓ FOLHA;A casa está acima do valor de mercado;;;
134;ANO_CONST;SIM;135;NÃO;138
135;AREA_PORAO;SIM;136;NÃO;139
136;NÓ FOLHA;A casa está acima do valor de mercado;;;
138;NÓ FOLHA;A casa está acima do valor de mercado;;;
139;ANDARES;SIM;140;NÃO;141
140;NÓ FOLHA;A casa está acima do valor de mercado;;;
141;NÓ FOLHA;A casa está abaixo do valor de mercado;;;
